资质类型,护工ID,获取时间,认证单位,创建时间,资质名称
护理类,3013,2019/12/24 0:00,象山县人社局,2024/4/13 9:33,病患基础护理
护理类,3025,2019/12/24 0:00,象山县人社局,2024/4/13 9:36,病患 基础护理
护理类,3058,2020/12/7 0:00,象山县人社局,2024/4/13 9:39,病患基础护理
护理类,3034,2019/12/24 0:00,象山县人社局,2024/4/13 9:44,病患基础护理
护理类,3006,2019/12/24 0:00,象山县人社局,2024/4/13 9:47,病患基础护理
护理类,3085,2020/12/7 0:00,象山县人社局,2024/4/13 9:50,照护与康复技能
护理类,3015,2019/12/24 0:00,象山县人社局,2024/4/13 9:53,病患 基础护理
护理类,3099,2020/12/7 0:00,象山县人社局,2024/4/13 9:55,照护与康复技能
护理类,3005,2019/12/24 0:00,象山县人社局,2024/4/13 10:00,病患基础护理
护理类,3091,2020/12/7 0:00,象山县人社局,2024/4/13 10:02,照护与康复技能
护理类,3049,2020/12/3 0:00,象山县人社局,2024/4/13 10:05,照护与康复技能
护理类,3036,2020/12/7 0:00,象山县人社局,2024/4/13 10:08,照护与康复技能
护理类,3068,2016/5/31 0:00,象山县人社局,2024/4/13 10:11,养老护理员
护理类,3125,2019/12/24 0:00,象山县人社局,2024/4/13 15:16,病患基础护理
护理类,3119,2019/12/24 0:00,象山县人社局,2024/4/13 15:19,病患基础护理
护理类,3112,2020/12/7 0:00,象山县人社局,2024/4/13 15:21,照护与康复技能
护理类,3103,2019/12/24 0:00,象山县人社局,2024/4/13 15:24,病患基础护理
护理类,3097,2010/9/7 0:00,象山县人社局,2024/4/13 15:29,护理员
护理类,3105,2019/12/24 0:00,象山县人社局,2024/4/13 15:32,病患 基础护理
护理类,3059,2010/8/7 0:00,象山县人社局,2024/4/13 15:35,护理员
护理类,3039,2019/12/24 0:00,象山县人社局,2024/4/13 15:38,病患基础护理
护理类,3021,2019/12/24 0:00,象山县人社局,2024/4/13 15:41,病患基础护理
护理类,3082,2018/2/26 0:00,2099/12/31,2024/4/13 15:44,病患基础护理
护理类,3092,2010/9/7 0:00,象山县人社局,2024/4/13 15:46,护理员
护理类,5243,2017/11/8 0:00,象山县人社局,2024/4/15 7:50,养老护理员
护理类,3110,2019/12/24 0:00,象山县人社局,2024/4/15 7:54,病患基础护理
护理类,5059,2019/12/24 0:00,象山县人社局,2024/4/15 8:02,病患基础护理
护理类,4725,2019/12/24 0:00,象山县人社局,2024/4/15 8:05,病患基础护理
护理类,3115,2019/12/24 0:00,象山县人社局,2024/4/15 8:12,病患基础护理
护理类,3070,2020/12/3 0:00,象山县人社局,2024/4/15 8:15,照护与康复技能
护理类,3035,2019/12/24 0:00,象山县人社局,2024/4/15 8:18,病患基础护理
护理类,3003,2019/12/24 0:00,象山县人社局,2024/4/15 8:21,病患基础护理
护理类,3123,2010/9/7 0:00,象山县人社局,2024/4/15 8:24,护理员
护理类,3111,2019/12/24 0:00,象山县人社局,2024/4/15 8:27,病患基础护理
信息类,3039,2024/4/2 0:00,象山老年医院,2024/4/15 9:16,健康证
